Date,SP500 Volume,NASDAQ Open,NASDAQ High,NASDAQ Low,NASDAQ Close,NASDAQ Adj Close,NASDAQ Volume,DJI Open,DJI High,DJI Low,DJI Close,DJI Adj Close,DJI Volume,RUSSELL2000 Open,RUSSELL2000 High,RUSSELL2000 Low,RUSSELL2000 Close,RUSSELL2000 Adj Close,RUSSELL2000 Volume,FTSE Open,FTSE High,FTSE Low,FTSE Close,FTSE Adj Close,FTSE Volume,NIKKEI Open,NIKKEI High,NIKKEI Low,NIKKEI Close,NIKKEI Adj Close,NIKKEI Volume,GOLD Open,GOLD High,GOLD Low,GOLD Close,GOLD Adj Close,GOLD Volume,USD INDEX Open,USD INDEX High,USD INDEX Low,USD INDEX Close,USD INDEX Adj Close,OIL Open,OIL High,OIL Low,OIL Close,OIL Adj Close,OIL Volume,VIX
2014-10-01,93714040000,4486.64990234375,4641.509765625,4116.60009765625,4630.740234375,4630.740234375,50136190000,17040.4609375,17395.5390625,15855.1201171875,17390.51953125,17390.51953125,2903240000,1101.0799560546875,1174.3299560546875,1040.469970703125,1173.510009765625,1173.510009765625,93694040000,6622.7001953125,6622.7998046875,6072.7001953125,6546.5,6546.5,20158414000,16173.3896484375,16533.91015625,14529.0302734375,16413.759765625,16413.759765625,3436700000,1207.699951171875,1251.0,1161.4000244140625,1171.0999755859375,1171.0999755859375,4510,85.91000366210938,87.12999725341797,84.47000122070312,86.87999725341797,86.87999725341797,91.36000061035156,92.95999908447266,79.44000244140625,80.54000091552734,80.54000091552734,7448385,16.53
2014-11-01,63600190000,4633.7099609375,4810.85986328125,4594.919921875,4791.6298828125,4791.6298828125,32967990000,17390.900390625,17894.830078125,17278.359375,17828.240234375,17828.240234375,1516490000,1174.5,1191.760009765625,1151.97998046875,1173.22998046875,1173.22998046875,63570190000,6546.5,6773.10009765625,6444.89990234375,6722.60009765625,6722.60009765625,14266358300,16732.849609375,17520.5390625,16713.369140625,17459.849609375,17459.849609375,3155400000,1166.4000244140625,1202.4000244140625,1133.0,1175.199951171875,1175.199951171875,299410,87.08000183105469,88.44000244140625,86.87999725341797,88.36000061035156,88.36000061035156,80.58999633789062,80.9800033569336,65.69000244140625,66.1500015258789,66.1500015258789,6055929,13.33
2014-12-01,80743820000,4777.72998046875,4814.9501953125,4547.31005859375,4736.0498046875,4736.0498046875,39587090000,17827.26953125,18103.44921875,17067.58984375,17823.0703125,17823.0703125,2216900000,1170.550048828125,1221.43994140625,1134.510009765625,1204.699951171875,1204.699951171875,80713820000,6722.60009765625,6753.2001953125,6144.7001953125,6566.10009765625,6566.10009765625,13989469200,17475.099609375,18030.830078125,16672.939453125,17450.76953125,17450.76953125,2962900000,1160.0,1238.0,1141.699951171875,1183.9000244140625,1183.9000244140625,11140,88.2300033569336,90.33000183105469,87.62999725341797,90.2699966430664,90.2699966430664,66.0,69.54000091552734,52.439998626708984,53.27000045776367,53.27000045776367,6919717,15.155000000000001
2015-01-01,77330040000,4760.240234375,4777.009765625,4563.10986328125,4635.240234375,4635.240234375,38719030000,17823.0703125,17951.779296875,17136.30078125,17164.94921875,17164.94921875,2173260000,1209.97998046875,1212.800048828125,1151.300048828125,1165.3900146484375,1165.3900146484375,77300040000,6566.10009765625,6865.0,6298.2001953125,6749.39990234375,6749.39990234375,15644596100,17325.6796875,17850.58984375,16592.5703125,17674.390625,17674.390625,2691500000,1184.0,1303.5,1169.5,1278.5,1278.5,258615,90.36000061035156,95.4800033569336,90.33000183105469,94.80000305175781,94.80000305175781,53.7599983215332,55.11000061035156,43.58000183105469,48.2400016784668,48.2400016784668,7699363,19.455
2015-04-01,72060940000,4894.35986328125,5119.830078125,4844.39013671875,4941.419921875,4941.419921875,37409760000,17778.51953125,18175.560546875,17585.009765625,17840.51953125,17840.51953125,2174880000,1250.989990234375,1278.6300048828125,1216.0999755859375,1220.1300048828125,1220.1300048828125,69440940000,6773.0,7122.7001953125,6765.39990234375,6960.60009765625,6960.60009765625,14644991100,19129.75,20252.119140625,18927.94921875,19520.009765625,19520.009765625,3047400000,1182.9000244140625,1224.199951171875,1174.5999755859375,1182.4000244140625,1182.4000244140625,7838,98.41999816894531,99.98999786376953,94.4000015258789,94.5999984741211,94.5999984741211,47.54999923706055,59.849998474121094,47.04999923706055,59.630001068115234,59.630001068115234,7959153,13.3
2015-05-01,65187730000,4966.31982421875,5111.5400390625,4888.169921875,5070.02978515625,5070.02978515625,35994540000,17859.26953125,18351.359375,17733.119140625,18010.6796875,18010.6796875,1832450000,1223.050048828125,1261.02001953125,1211.1300048828125,1246.530029296875,1246.530029296875,65187730000,6960.60009765625,7083.7001953125,6810.10009765625,6984.39990234375,6984.39990234375,15318287400,19510.849609375,20655.330078125,19257.849609375,20563.150390625,20563.150390625,3291500000,1178.0999755859375,1228.0999755859375,1170.0,1189.4000244140625,1189.4000244140625,258123,94.83000183105469,97.77999877929688,93.12999725341797,96.91000366210938,96.91000366210938,59.790000915527344,62.58000183105469,56.5099983215332,60.29999923706055,60.29999923706055,6651435,13.075
2015-06-01,73213980000,5094.93994140625,5164.35986328125,4956.22998046875,4986.8701171875,4986.8701171875,41338820000,18017.8203125,18188.810546875,17576.5,17619.509765625,17619.509765625,2219240000,1252.02001953125,1296.0,1238.6500244140625,1253.949951171875,1253.949951171875,73192620000,6984.39990234375,7037.60009765625,6521.0,6521.0,6521.0,16012377600,20444.5390625,20952.7109375,19990.55078125,20235.73046875,20235.73046875,3459500000,1190.5999755859375,1204.0,1164.0,1171.5,1171.5,6252,96.88999938964844,97.68000030517578,93.55999755859375,95.48999786376953,95.48999786376953,60.290000915527344,61.81999969482422,56.83000183105469,59.470001220703125,59.470001220703125,6767902,14.015
2015-07-01,77920590000,5029.0498046875,5231.93994140625,4901.509765625,5128.27978515625,5128.27978515625,40633420000,17638.119140625,18137.119140625,17399.169921875,17689.859375,17689.859375,2034220000,1262.1199951171875,1275.9000244140625,1205.18994140625,1238.6800537109375,1238.6800537109375,77920590000,6521.0,6813.39990234375,6430.39990234375,6696.2998046875,6696.2998046875,15435132500,20291.05078125,20850.0,19115.19921875,20585.240234375,20585.240234375,3318200000,1173.0999755859375,1173.0999755859375,1078.5999755859375,1094.9000244140625,1094.9000244140625,216892,95.5999984741211,98.1500015258789,95.44999694824219,97.37000274658203,97.37000274658203,58.97999954223633,58.97999954223633,46.68000030517578,47.119998931884766,47.119998931884766,7403886,13.405
2015-08-01,84626790000,5134.33984375,5175.259765625,4292.14013671875,4776.509765625,4776.509765625,43408300000,17696.740234375,17704.759765625,15370.330078125,16528.029296875,16528.029296875,2726340000,1238.3199462890625,1243.1600341796875,1102.5799560546875,1159.449951171875,1159.449951171875,84596790000,6696.2998046875,6764.7998046875,5768.2001953125,6247.89990234375,6247.89990234375,17165806900,20540.2109375,20946.9296875,17714.30078125,18890.48046875,18890.48046875,3723100000,1095.5,1169.0,1080.5,1131.5999755859375,1131.5999755859375,13251,97.22000122070312,98.33000183105469,92.62000274658203,95.94999694824219,95.94999694824219,46.86000061035156,49.33000183105469,37.75,49.20000076293945,49.20000076293945,8594213,13.77
2015-09-01,79989370000,4673.60986328125,4960.8701171875,4487.06005859375,4620.16015625,4620.16015625,41503920000,16528.029296875,16933.4296875,15942.3701171875,16284.7001953125,16284.7001953125,2724080000,1148.31005859375,1193.989990234375,1078.6300048828125,1100.68994140625,1100.68994140625,79958370000,6247.89990234375,6284.2001953125,5877.10009765625,6061.60009765625,6061.60009765625,17973431900,18763.720703125,18777.470703125,16901.490234375,17388.150390625,17388.150390625,3132300000,1133.5,1155.9000244140625,1098.199951171875,1115.5,1115.5,9119,95.93000030517578,96.69999694824219,94.05999755859375,96.3499984741211,96.3499984741211,48.099998474121094,48.869998931884766,43.209999084472656,45.09000015258789,45.09000015258789,8283967,24.25
